ID,Dem_Gender,Dem_Age,Time,Formato,Accuracy
1,2,37,2.618,PR,0
2,2,32,23.303,PR,0
3,1,100,6.9,FN,0
4,2,34,12.905,FN,1
5,1,29,38.895,FN,1
6,2,25,42.473,FN,1
7,1,27,3.287,PR,0
8,1,29,16.438,PR,0
9,1,30,60.794,PR,1
10,2,28,26.169,PR,0
11,2,34,22.905,PR,0
12,2,65,35.912,PR,1
13,2,45,64.141,FN,0
14,1,39,59.34,FN,0
15,2,33,31.841,PR,0
16,2,35,63.818,PR,1
17,1,33,24.362,PR,1
18,1,49,25.929,FN,1
19,2,32,89.036,PR,0
20,1,34,25.411,PR,1
21,1,38,18.163,FN,1
22,2,33,69.983,FN,1
23,1,19,4.142,PR,0
24,1,49,43.01,FN,1
25,2,24,51.565,FN,1
26,2,62,61.292,PR,0
27,1,33,77.829,FN,1
28,2,43,62.115,PR,1
29,2,56,37.912,PR,1
30,1,30,131.47,FN,1
31,2,42,77.519,FN,1
32,2,33,15.462,FN,1
33,1,28,82.395,PR,1
34,2,60,37.695,FN,1
35,2,53,30.012,PR,1
36,1,28,90.85,FN,1
37,1,65,29.47,FN,1
38,2,29,8.154,FN,1
39,1,21,82.822,FN,1
40,1,26,28.523,PR,1
41,2,44,165.529,PR,0
42,2,44,22.374,PR,0
43,2,59,139.038,PR,0
44,2,37,96.429,FN,0
45,2,32,26.485,PR,1
46,1,32,45.659,PR,1
47,2,46,42.315,FN,1
48,2,32,47.646,FN,1
49,1,28,28.133,PR,0
50,1,31,45.244,PR,0
51,2,37,1.889,PR,0
52,2,32,4.173,PR,0
53,1,100,5.813,PR,0
54,2,34,13.947,PR,0
55,1,29,7.672,FN,1
56,2,25,8.545,FN,1
57,1,27,2.451,PR,0
58,1,29,14.32,FN,1
59,1,30,15.073,PR,1
60,2,28,7.467,FN,0
61,2,34,7.569,FN,0
62,2,65,14.431,FN,1
63,2,45,13.85,PR,0
64,1,39,2.112,FN,0
65,2,33,13.837,FN,0
66,2,35,15.867,PR,1
67,1,33,18.413,PR,1
68,1,49,23.685,PR,1
69,2,32,45.217,FN,0
70,1,34,15.444,FN,1
71,1,38,3.872,PR,1
72,2,33,9.742,FN,1
73,1,19,3.823,FN,0
74,1,49,13.989,PR,1
75,2,24,10.254,FN,1
76,2,62,22.37,FN,1
77,1,33,58.709,PR,1
78,2,43,35.344,FN,1
79,2,56,9.318,FN,1
80,1,30,47.735,PR,1
81,2,42,38.602,PR,1
82,2,33,8.509,FN,1
83,1,28,26.824,FN,1
84,2,60,26.261,PR,0
85,2,53,18.836,PR,1
86,1,28,18.503,PR,0
87,1,65,37.937,PR,0
88,2,29,2.3,PR,1
89,1,21,9.741,FN,1
90,1,26,10.328,PR,1
91,2,44,86.58,FN,0
92,2,44,5.159,FN,0
93,2,59,128.531,PR,0
94,2,37,19.053,FN,0
95,2,32,16.544,FN,1
96,1,32,21.515,FN,1
97,2,46,30.332,PR,1
98,2,32,11.47,PR,1
99,1,28,3.255,FN,0
100,1,31,39.674,PR,1
101,2,37,1.242,FN,0
102,2,32,11.851,FN,0
103,1,100,2.448,FN,0
104,2,34,6.115,PR,0
105,1,29,8.278,PR,1
106,2,25,8.298,PR,1
107,1,27,3.853,FN,0
108,1,29,5.777,PR,1
109,1,30,1.885,FN,1
110,2,28,41.591,FN,1
111,2,34,4.277,PR,0
112,2,65,8.276,FN,1
113,2,45,12.107,PR,0
114,1,39,2.658,PR,0
115,2,33,14.132,PR,0
116,2,35,25.622,FN,1
117,1,33,12.827,FN,1
118,1,49,14.254,FN,1
119,2,32,11.264,PR,0
120,1,34,22.362,FN,1
121,1,38,4.187,PR,1
122,2,33,17.264,PR,1
123,1,19,3.151,FN,0
124,1,49,15.853,FN,1
125,2,24,28.654,PR,1
126,2,62,3.646,FN,1
127,1,33,14.264,FN,1
128,2,43,5.846,FN,1
129,2,56,25.611,PR,1
130,1,30,24.821,FN,1
131,2,42,20.295,PR,1
132,2,33,10.768,PR,1
133,1,28,21.473,PR,0
134,2,60,12.129,FN,1
135,2,53,49.075,FN,1
136,1,28,13.422,FN,0
137,1,65,39.439,PR,1
138,2,29,3.942,PR,1
139,1,21,8.958,PR,1
140,1,26,18.063,FN,1
141,2,44,18.262,PR,0
142,2,44,5.123,PR,0
143,2,59,21.971,FN,0
144,2,37,45.358,FN,1
145,2,32,21.497,PR,1
146,1,32,26.957,FN,1
147,2,46,21.808,FN,1
148,2,32,10.677,PR,1
149,1,28,14.771,FN,0
150,1,31,9.485,FN,1
151,2,37,1.992,FN,0
152,2,32,3.983,FN,0
153,1,100,2.943,PR,0
154,2,34,3.536,FN,1
155,1,29,3.435,PR,1
156,2,25,18.671,PR,1
157,1,27,2.401,PR,0
158,1,29,7.526,FN,1
159,1,30,1.663,FN,1
160,2,28,8.115,PR,1
161,2,34,8.965,FN,1
162,2,65,9.211,PR,1
163,2,45,7.903,FN,0
164,1,39,1.587,FN,0
165,2,33,25.919,PR,0
166,2,35,39.901,FN,1
167,1,33,7.383,FN,1
168,1,49,16.484,PR,1
169,2,32,7.691,FN,0
170,1,34,9.775,PR,1
171,1,38,3.129,FN,1
172,2,33,7.355,PR,1
173,1,19,4.046,PR,0
174,1,49,17.934,PR,1
175,2,24,18.895,PR,1
176,2,62,48.721,PR,0
177,1,33,11.723,PR,1
178,2,43,11.754,PR,1
179,2,56,16.491,FN,1
180,1,30,11.29,FN,1
181,2,42,15.389,FN,0
182,2,33,7.032,PR,1
183,1,28,31.855,FN,0
184,2,60,19.507,PR,1
185,2,53,12.933,FN,1
186,1,28,17.783,FN,1
187,1,65,55.022,FN,1
188,2,29,3.77,FN,1
189,1,21,11.971,PR,1
190,1,26,12.142,PR,1
191,2,44,51.87,FN,0
192,2,44,5.48,FN,0
193,2,59,11.658,PR,0
194,2,37,25.241,PR,0
195,2,32,7.632,FN,1
196,1,32,25.647,PR,1
197,2,46,20.599,PR,1
